franchise,player,pos,current_type,proposed_type,confidence,current_contractInfo,proposed_contractInfo,proposed_contractInfo_note,mapping_note,drafted
Cleon Ca$h,"Royals, Jalen",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.07 (2025)
Cleon Ca$h,"Shakir, Khalil",WR,BL,Vet-ERA-BL,confirmed,"CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K","CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K",(numbers unchanged — type only),corrected — origin is ERA not FAA,Trade (2025)
Cleon Ca$h,"Singleton, Nicholas",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.07
Cleon Ca$h,"Smith, Roquan",LB,FL,Vet-FAA-FL,confirmed,"CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1","CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1",(numbers unchanged — type only),confirmed,"Auction $4,000 (2024)"
Cleon Ca$h,"Starks, Malaki",S,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),5.05 (2025)
Cleon Ca$h,"TeSlaa, Isaac",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.03 (2025)
Cleon Ca$h,"Trice, Bralen",DE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.10 (2024)
Cleon Ca$h,"Walker, Devontez",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.05 (2024)
Cleon Ca$h,"Walker, Travon",DE,Veteran,Vet-FAA?,low,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",(numbers unchanged — type only),Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Cleon Ca$h,"Williams, Mykel",DE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.04 (2025)
Gride,"Bech, Jack",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.11 (2025)
Gride,"Bell, Chris",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.03
Gride,"Brazzell II, Chris",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.12
Gride,"Coker, Jalen",WR,Rookie,Rookie-MYM,confirmed,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",(numbers unchanged — type only),WW post-contract-deadline (last Sun before Wk1) = MYM,"BB $1,000 (2024)"
Gride,"Darnold, Sam",QB,Veteran,Vet-FAA,confirmed,CL 2| TCV 36K| AAV 18K,CL 2| TCV 36K| AAV 18K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $18,000 (2025)"
Gride,"Etienne, Trevor",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.04 (2025)
Gride,"Giddens, DJ",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.06 (2025)
Gride,"Graham, Mason",DT,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.11 (2025)
Gride,"Hill Jr., Anthony",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.12
Gride,"Johnson, Emmett",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.09
Gride,"Joly, Justin",TE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.09
Gride,"Monangai, Kyle",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
Gride,"Moore, D.J.",WR,Veteran,Vet-FAA,confirmed,CL 2| TCV 42K| AAV 21K,CL 2| TCV 42K| AAV 21K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $21,000 (2025)"
Gride,"Neal, Devin",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),4.07 (2025)
Gride,"Njoku, David",TE,Veteran,Vet-FAA,confirmed,CL 2| TCV 54K| AAV 27K,CL 2| TCV 54K| AAV 27K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $27,000 (2025)"
Gride,"Pittman, Michael",WR,Veteran,Vet-Ext2,confirmed,CL 3| TCV 115K| AAV 45K| Y1-25K Y2-45K Y3-45K| Ext: PG,CL 3| TCV 115K| AAV 45K| Y1-25K Y2-45K Y3-45K| Ext: PG,(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2024)
Gride,"Price, Jadarian",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 36K|AAV 12K|Y1-12K, Y2-12K, Y3-12K|GTD: 27K|Keep Option as Y4Option =17K","CL 3|TCV 36K|AAV 12K|Y1-12K, Y2-12K, Y3-12K, Y4-17K Option|GTD: 27K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.04
Gride,"Randall, Adam",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.09
Gride,"Rice, Brenden",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.02 (2024)
Gride,"Samuel, Deebo",WR,Veteran,Vet-FAA,confirmed,CL 3| TCV 24K| AAV 8K,CL 3| TCV 24K| AAV 8K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $8,000 (2025)"
Gride,"Skattebo, Cam",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
Gride,"Smack, Trey",PK,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.03
Gride,"Tyson, Jordyn",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 33K|AAV 11K|Y1-11K, Y2-11K, Y3-11K|GTD: 24.8K|Keep Option as Y4Option =16K","CL 3|TCV 33K|AAV 11K|Y1-11K, Y2-11K, Y3-11K, Y4-16K Option|GTD: 24.8K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.05
Gride,"Vidal, Kimani",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),3.02 (2024)
Gride,"Williams, Antonio",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K|Keep Option as Y4Option =10K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K, Y4-10K Option|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.11
Gride,"Wilson, Payton",LB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.03 (2024)
Gride,"Young, Bryce",QB,EXT2,Vet-Ext2,confirmed,"CL 2|TCV 66K|AAV 33K|Y1-33K, Y2-33K|Ext: GRID|GTD: 49.5K","CL 2|TCV 66K|AAV 33K|Y1-33K, Y2-33K|Ext: GRID|GTD: 49.5K",(numbers unchanged — type only),confirmed,Trade (2023)
HammerTime 🔨 ⏰,"Addison, Jordan",WR,Veteran,Vet-Ext1,confirmed,CL 2| TCV 24K| AAV 17K| Ext: LH,CL 2| TCV 24K| AAV 17K| Ext: LH,BACKFILL: multi-year missing Y-schedule,corrected — 1yr extension,Trade (2025)
HammerTime 🔨 ⏰,"Bateman, Rashod",WR,Veteran,Vet-FAA,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $5,000 (2025)"
HammerTime 🔨 ⏰,"Bell, Skyler",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.12
HammerTime 🔨 ⏰,"Burden, Luther",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K | Option Eligible,CL 3| TCV 15K| AAV 5K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.12 (2025)
HammerTime 🔨 ⏰,"Campbell, Jack",LB,Veteran,Vet-MYM,confirmed,"CL 3| TCV 9K| AAV 3K| Y1-3, Y2-3, Y3-3","CL 3| TCV 9K| AAV 3K| Y1-3, Y2-3, Y3-3",(numbers unchanged — type only),WW pickup post-contract-deadline = MYM,"BB $3,000 (2024)"
HammerTime 🔨 ⏰,"Chase, Ja'Marr",WR,BL,Vet-Ext2-BL,confirmed,"CL 2| TCV 129K| AAV 54K| Y1-26K, Y2-103K| GTD: 96.8K| Ext: Creel, Hammer","CL 2| TCV 129K| AAV 54K| Y1-26K, Y2-103K| GTD: 96.8K| Ext: Creel, Hammer",(numbers unchanged — type only),confirmed,Trade (2024)
HammerTime 🔨 ⏰,"Claiborne, Demond",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.08
HammerTime 🔨 ⏰,"Franklin, Troy",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),2.09 (2024)
HammerTime 🔨 ⏰,"Gray, Cedric",LB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.04 (2024)
HammerTime 🔨 ⏰,"Hockenson, T.J.",TE,MYM - Vet,Vet-MYM,confirmed,"CL 3| TCV 33K| AAV 11K| Y1-11K, Y2-11K, Y3-11K| GTD: 24750","CL 3| TCV 33K| AAV 11K| Y1-11K, Y2-11K, Y3-11K| GTD: 24750",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"BB $11,000 (2025)"
HammerTime 🔨 ⏰,"Laube, Dylan",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.02 (2024)
HammerTime 🔨 ⏰,"Lawrence, Malachi",DE,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.05
HammerTime 🔨 ⏰,"McBride, Trey",TE,BL,Vet-Ext2-BL,confirmed,"CL 2| TCV 44K| AAV 22K| Y1-9K, Y2-35K| Ext: Hammer","CL 2| TCV 44K| AAV 22K| Y1-9K, Y2-35K| Ext: Hammer",(numbers unchanged — type only),confirmed,Trade (2023)
HammerTime 🔨 ⏰,"McConkey, Ladd",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.12 (2024)
HammerTime 🔨 ⏰,"Mesidor, Akheem",DE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.11
HammerTime 🔨 ⏰,"Montgomery, David",RB,EXT1,Vet-Ext1,confirmed,"CL 2| TCV 42K| AAV 20K, 30K| Y1-12K, Y2-30K| Ext: Hammer| GTD: 31.5K","CL 2| TCV 42K| AAV 20K, 30K| Y1-12K, Y2-30K| Ext: Hammer| GTD: 31.5K",(numbers unchanged — type only),confirmed,Trade
HammerTime 🔨 ⏰,"Murphy, Byron",DT,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
HammerTime 🔨 ⏰,"Penix Jr., Michael",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
HammerTime 🔨 ⏰,"Richardson, Anthony",QB,Veteran,Vet-WW,confirmed,CL 3| TCV 33K| AAV 11K,CL 3| TCV 33K| AAV 11K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"BB $11,000 (2025)"
HammerTime 🔨 ⏰,"Sinnott, Ben",TE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
HammerTime 🔨 ⏰,"Smith, Ainias",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.06 (2024)
HammerTime 🔨 ⏰,"Smith, Geno",QB,BL,Vet-FAA-BL,confirmed,"CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K","CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K",(numbers unchanged — type only),confirmed,"Auction $15,000 (2025)"
HammerTime 🔨 ⏰,"Smith, Jonnu",TE,Veteran,Vet-FAA,confirmed,"CL 3| TCV 18K| AAV 6K| Y1-6K, Y2-6K, Y3-6K","CL 3| TCV 18K| AAV 6K| Y1-6K, Y2-6K, Y3-6K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $6,000 (2025)"
HammerTime 🔨 ⏰,"Stover, Cade",TE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.09 (2024)
HammerTime 🔨 ⏰,"Stroud, C.J.",QB,EXT1,Vet-Ext1,confirmed,CL 1| TCV 22K| AAV 22K| Y1-22K| GTD: 16.5K| Ext: 🔨 ⏰,CL 1| TCV 22K| AAV 22K| Y1-22K| GTD: 16.5K| Ext: 🔨 ⏰,(numbers unchanged — type only),confirmed,Trade (2025)
HammerTime 🔨 ⏰,"Taylor, Mason",TE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),3.02 (2025)
HammerTime 🔨 ⏰,"Walker III, Kenneth",RB,BL,Vet-Ext1-BL,confirmed,"CL 2| TCV 74K| AAV 32K, 42K| Y1-15K, Y2-59K| GTD: 55.5K| Ext: PG, RealDeal","CL 2| TCV 74K| AAV 32K, 42K| Y1-15K, Y2-59K| GTD: 55.5K| Ext: PG, RealDeal",(numbers unchanged — type only),corrected — 1yr ext with loaded year still ahead,Trade
HammerTime 🔨 ⏰,"Walker, Jalon",DE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.04 (2025)
HammerTime 🔨 ⏰,"Williams, Javonte",RB,TAG,Tag,confirmed,CL 1| TCV 30K| AAV 30K| GTD 22.5K| Tag| Tier 3| Formula: Avg Top 9-31 RB AAV | 10% AAV floor (rounded up to $1K) | 10% AAV floor (rounded up to $1K),CL 1| TCV 30K| AAV 30K| GTD 22.5K| Tag| Tier 3| Formula: Avg Top 9-31 RB AAV | 10% AAV floor (rounded up to $1K) | 10% AAV floor (rounded up to $1K),(numbers unchanged — type only),Tag/TAG case-merge.,Trade (2023)
Hawks,"Allar, Drew",QB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.05
Hawks,"Allen, CJ",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.02
Hawks,"Allen, LeQuint",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.08 (2025)
Hawks,"Black, Kaelon",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.02
Hawks,"Brown, Marquise",WR,Veteran,Vet-FAA,confirmed,"CL 3| TCV 24K| AAV 8K| Y1-8, Y2-8, Y3-8","CL 3| TCV 24K| AAV 8K| Y1-8, Y2-8, Y3-8",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $8,000 (2024)"
Hawks,"Bullard, Javon",S,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.09 (2024)
Hawks,"Carter, Abdul",DE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),3.09 (2025)
Hawks,"Corley, Malachi",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.01 (2024)
Hawks,"Delane, Mansoor",CB,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.12
Hawks,"Dike, Chimere",WR,Rookie,Rookie-MYM,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,WW post-contract-deadline (last Sun before Wk1) = MYM,"BB $5,000 (2025)"
Hawks,"Dobbins, J.K.",RB,Veteran,Vet-FAA,confirmed,"CL 3| TCV 27K| AAV 9K| Y1-9, Y2-9, Y3-9","CL 3| TCV 27K| AAV 9K| Y1-9, Y2-9, Y3-9",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $9,000 (2024)"
Hawks,"Evans, Mike",WR,Veteran,Vet-FAA,confirmed,"CL 3| TCV 72K| AAV 24K| Y1-24, Y2-24, Y3-24","CL 3| TCV 72K| AAV 24K| Y1-24, Y2-24, Y3-24",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $24,000 (2024)"
Hawks,"Harvey, RJ",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 33K| AAV 11K | Option Eligible,CL 3| TCV 33K| AAV 11K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.05 (2025)
Hawks,"Johnson, Kaleb",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 18K| AAV 6K | Option Eligible,CL 3| TCV 18K| AAV 6K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.10 (2025)
Hawks,"Jones, Marcus",CB,Veteran,Vet-MYM,confirmed,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",(numbers unchanged — type only),WW pickup post-contract-deadline = MYM,"BB $1,000 (2024)"
Hawks,"Kincaid, Dalton",TE,Veteran,Vet-Ext2,confirmed,CL 3| TCV 67K| AAV 29K| Ext: PG,CL 3| TCV 67K| AAV 29K| Ext: PG,BACKFILL: multi-year missing Y-schedule,Has Ext: token but non-EXT status — reclassify as extension.,Trade (2025)
Hawks,"Lane, Ja'Kobi",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.02
Hawks,"Lane, Jaylin",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.09 (2025)
Hawks,"Lemon, Makai",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 30K|AAV 10K|Y1-10K, Y2-10K, Y3-10K|GTD: 22.5K|Keep Option as Y4Option =15K","CL 3|TCV 30K|AAV 10K|Y1-10K, Y2-10K, Y3-10K, Y4-15K Option|GTD: 22.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.06
Hawks,"Martin, Nick",LB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.08 (2025)
Hawks,"Meyers, Jakobi",WR,Veteran,Vet-FAA?,low,"CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4","CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4",(numbers unchanged — type only),Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Hawks,"Owusu-Koramoah, Jeremiah",LB,Veteran,Vet-FAA?,low,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",(numbers unchanged — type only),Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2024)
Hawks,"Robinson, Chop",DE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),4.01 (2024)
Hawks,"Tate, Carnell",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 42K|AAV 14K|Y1-14K, Y2-14K, Y3-14K|GTD: 31.5K|Keep Option as Y4Option =19K","CL 3|TCV 42K|AAV 14K|Y1-14K, Y2-14K, Y3-14K, Y4-19K Option|GTD: 31.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.02
Hawks,"Warner, Fred",LB,Veteran,Vet-FAA,confirmed,"CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4","CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $4,000 (2024)"
Hawks,"Williams, Kyren",RB,Veteran,Vet-Ext2,confirmed,"CL 2| TCV 44K| AAV 22K| Y1-22K, Y2-22K| Ext: Hawks","CL 2| TCV 44K| AAV 22K| Y1-22K, Y2-22K| Ext: Hawks",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,3.08 (2022)
Hawks,"Wilson, Michael",WR,Veteran,Vet-MYM,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,WW pickup post-contract-deadline = MYM,"BB $5,000 (2025)"
